,state,population
0,Alabama,"50,24,279"
1,Alaska,"7,33,391"
2,Arizona,"71,51,502"
3,Arkansas,"30,11,524"
4,California,"3,95,38,223"
5,Colorado,"57,73,714"
6,Connecticut,"36,05,944"
7,Delaware,"9,89,948"
8,Florida,"2,15,38,187"
9,Georgia,"1,07,11,908"
10,Hawaii,"14,55,271"
11,Idaho,"18,39,106"
12,Illinois,"1,28,12,508"
13,Indiana,"67,85,528"
14,Iowa,"31,90,369"
15,Kansas,"29,37,880"
16,Kentucky,"45,05,836"
17,Louisiana,"46,57,757"
18,Maine,"13,62,359"
19,Maryland,"61,77,224"
20,Massachusetts,"70,29,917"
21,Michigan,"1,00,77,331"
22,Minnesota,"57,06,494"
23,Mississippi,"29,61,279"
24,Missouri,"61,54,913"
25,Montana,"10,84,225"
26,Nebraska,"19,61,504"
27,Nevada,"31,04,614"
28,New Hampshire,"13,77,529"
29,New Jersey,"92,88,994"
30,New Mexico,"21,17,522"
31,New York,"2,02,01,249"
32,North Carolina,"1,04,39,388"
33,North Dakota,"7,79,094"
34,Ohio,"1,17,99,448"
35,Oklahoma,"39,59,353"
36,Oregon,"42,37,256"
37,Pennsylvania,"1,30,02,700"
38,Rhode Island,"10,97,379"
39,South Carolina,"51,18,425"
40,South Dakota,"8,86,667"
41,Tennessee,"69,10,840"
42,Texas,"2,91,45,505"
43,Utah,"32,71,616"
44,Vermont,"6,43,077"
45,Virginia,"86,31,393"
46,Washington,"77,05,281"
47,West Virginia,"17,93,716"
48,Wisconsin,"58,93,718"
49,Wyoming,"5,76,851"
